@relation Planilha_Agrupamento_Escala_NSupervisionado_clustered

@attribute Instance_number numeric
@attribute 'Curso=Sistemas de Informação' numeric
@attribute Gênero=Homem numeric
@attribute Gênero=Queer numeric
@attribute Gênero=Mulher numeric
@attribute 'Sexualidade=Prefiro não responder' numeric
@attribute Sexualidade=Homossexual numeric
@attribute Sexualidade=Heterossexual numeric
@attribute Sexualidade=Pansexual numeric
@attribute Sexualidade=Bissexual numeric
@attribute Sexualidade=Assexual numeric
@attribute 'Assédio na FACOM=Sim' numeric
@attribute VG2 numeric
@attribute VM3 numeric
@attribute VG3 numeric
@attribute VG4 numeric
@attribute VG5 numeric
@attribute VM1 numeric
@attribute VG1 numeric
@attribute VG6 numeric
@attribute IV1 numeric
@attribute IV2 numeric
@attribute VM2 numeric
@attribute Cluster {cluster0,cluster1,cluster2}

@data
0,0,1,0,0,1,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0.25,0.6,0.8,0.5,0.5,1,cluster0
1,1,0,1,0,0,1,0,0,0,0,0,0.2,0,0.2,0,0.6,0,0.6,0.6,0.7,0.2,1,cluster0
2,0,1,0,0,0,1,0,0,0,0,0,0.4,0,0.4,0.4,0.2,0,1,0.8,0.7,0.5,1,cluster0
3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.8,0,0.3,0.7,2,cluster1
4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,4,cluster1
5,0,1,0,0,0,1,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0,1,1,0.2,0,3,cluster0
6,0,0,0,1,0,0,0,1,0,0,0,0.8,0.5,1,0,0.4,0.5,1,0.8,0.2,0.8,1,cluster2
7,0,1,0,0,0,0,1,0,0,0,0,0.2,0,0.2,0.2,0.2,0.5,0.8,0.4,0.2,0.8,3,cluster1
8,0,0,0,1,0,0,0,0,1,0,1,1,0.75,1,1,1,1,1,1,0,0.8,5,cluster2
9,0,0,0,1,0,0,1,0,0,0,1,0.6,0.25,0.6,0.6,0.2,0,0.2,0.8,0.1,0.5,0,cluster2
10,0,1,0,0,0,0,1,0,0,0,0,0,0.25,0,0,0,0.75,0.8,0.8,0.3,0.6,5,cluster1
11,0,1,0,0,0,0,1,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0.2,0.6,1,0,1,cluster1
12,0,0,0,1,0,0,1,0,0,0,0,0.2,0,0.2,0.2,0.2,0,1,1,0.4,0.5,1,cluster2
13,0,0,0,1,0,0,1,0,0,0,0,0.8,0,0.4,0,1,0.75,1,0.4,0.2,0.6,1,cluster2
14,0,1,0,0,0,1,0,0,0,0,0,0.4,0,0.2,0.2,0.2,0,0.8,0.8,0.3,0.2,1,cluster0
15,0,1,0,0,0,0,1,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0.2,0,1,0,1,cluster1
16,0,1,0,0,0,0,1,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0.6,0.6,0.1,0.5,1,cluster1
17,0,0,0,1,0,0,1,0,0,0,1,0.8,0.75,0.4,0.2,0.2,0,0.6,1,0.6,0.8,1,cluster2
18,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,cluster1
19,0,0,0,1,0,0,0,0,1,0,0,0.6,1,1,0,0.8,0.5,1,0.8,0,0.6,3,cluster2
20,0,1,0,0,0,0,1,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0.6,0.8,0,0,1,cluster1
21,1,0,0,1,0,0,1,0,0,0,0,0.8,0.5,0.4,0.4,0.8,0,0.6,0.6,0.4,0.7,1,cluster2
22,0,1,0,0,0,0,1,0,0,0,0,0.4,0,0.2,0.2,0.2,0,0.8,0.8,0.4,0,1,cluster1
23,1,0,0,1,0,0,1,0,0,0,0,0.8,0.5,1,1,1,0.5,0.8,0,0,1,5,cluster2
24,0,1,0,0,0,0,1,0,0,0,0,0.2,0.25,0.2,0.2,0.2,0,1,0.6,0.4,0.2,1,cluster1
25,1,0,1,0,0,0,1,0,0,0,0,0.6,0.5,0.6,0.6,0.6,0.25,1,0.4,0.3,0.5,3,cluster2
26,1,1,0,0,0,0,1,0,0,0,0,0.2,0.25,0.2,0.2,0.2,0,0.4,0.4,1,0.4,1,cluster1
27,0,0,0,1,0,0,0,0,1,0,0,0.8,0.75,0.8,0.2,0.8,0.25,0.4,1,0.6,0,1,cluster2
28,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0.5,1,cluster2
29,0,0,0,1,0,0,1,0,0,0,0,0.4,0,0.2,0.2,0.2,0,1,0.6,0.7,0,1,cluster2
30,0,1,0,0,0,1,0,0,0,0,0,0.2,0.25,0.2,0.2,0.6,0,0.2,0.4,0.2,0.7,1,cluster0
31,0,1,0,0,0,0,1,0,0,0,0,0.2,0.5,0.2,0.2,0.2,0,0.8,0.6,0.7,0,2,cluster1
32,1,1,0,0,0,0,1,0,0,0,0,0,0.25,0,0,0,0,0.8,0,0.3,0.3,1,cluster1
33,1,0,0,1,0,0,0,0,0,1,0,0.8,0.5,0.8,0.8,0.6,0.25,0.8,0.8,0.6,0.2,1,cluster2
34,1,0,0,1,0,0,0,0,1,0,0,0.6,0.25,0.2,0,0.2,0,0.8,0.8,0.9,0.1,1,cluster2
35,1,0,0,1,0,0,0,0,1,0,0,0.4,0,0.4,0.4,0.6,0,1,0.6,1,0,1,cluster2
